pair,gene_a,gene_b,hit_union,hit_h1299,hit_mdamb231,signed_dd_maxabs,welch_t_maxabs,hedges_g_maxabs
CSNK2A1_CSNK2A2,CSNK2A1,CSNK2A2,1,1,1,-0.13753856416989182,-0.8843986542331639,-0.5645569934666435
ARFGEF1_ARFGEF2,ARFGEF1,ARFGEF2,1,1,1,-0.45904469162679506,2.492833442589307,1.1732167888566067
SAR1A_SAR1B,SAR1A,SAR1B,1,1,1,-0.012981753264312161,-0.22647560755094842,-0.11163198537345637
PITPNA_PITPNB,PITPNA,PITPNB,1,1,1,-0.05919452367272034,-0.618500731044313,-0.34371526732445085
TIA1_TIAL1,TIA1,TIAL1,1,1,1,-0.14304712282840165,-0.9829997381125778,-0.6650181287744135
CUL4A_CUL4B,CUL4A,CUL4B,1,1,1,-0.155374174642444,2.294610763894261,-1.061615348046774
TNPO1_TNPO2,TNPO1,TNPO2,1,1,1,-0.2718523105598882,-2.3646681149074467,1.0726046032350698
HSP90AA1_HSP90AB1,HSP90AA1,HSP90AB1,1,1,1,-0.302960524695633,-3.156354684916815,-1.1232337906111758
PAPOLA_PAPOLG,PAPOLA,PAPOLG,1,1,1,-0.1603352671969891,1.3580914791570933,-0.5744893602389968
DNAJA1_DNAJA2,DNAJA1,DNAJA2,1,1,1,0.020759097020165984,0.18077851290125388,0.08244226233170636
DMXL1_DMXL2,DMXL1,DMXL2,1,1,1,-0.203668988597475,-2.6087089407258417,-0.7682276275578888
RPL36A_RPL36AL,RPL36A,RPL36AL,1,1,1,,,
STT3A_STT3B,STT3A,STT3B,1,1,1,0.23674367494269122,3.313624660704983,1.3314167240978272
ROCK1_STK38,ROCK1,STK38,1,1,1,0.081503772925445,1.4061936453618478,-0.42206466309429647
TAF9_TAF9B,TAF9,TAF9B,1,1,1,-0.0034601595406265895,-0.08773726509978781,-0.03897513679184824
ACO1_IREB2,ACO1,IREB2,1,1,1,-0.36891031835047483,-2.603159006329876,-1.4439715128649915
SEC11A_SEC11C,SEC11A,SEC11C,1,1,1,,,
DNM2_MX1,DNM2,MX1,1,1,1,-0.3143020570343307,-2.280938765082051,-0.7189690015156007
HSPA1A_HSPA8,HSPA1A,HSPA8,1,1,1,,,
ZNF570_ZNF607,ZNF570,ZNF607,1,1,1,0.16535006602078656,5.745940767979243,1.4157676604784997
SENP6_SENP7,SENP6,SENP7,1,1,1,0.25312122217449384,-1.7962534075902667,0.7771124503120964
NXT1_NXT2,NXT1,NXT2,1,1,1,,,
HDAC1_HDAC2,HDAC1,HDAC2,1,0,1,-0.4073814641598519,-1.6149918196035513,-0.7620303200386406
CREBBP_EP300,CREBBP,EP300,1,0,1,-0.9717775817213439,-4.020913428993295,-1.9771174223831027
PTPN1_PTPN2,PTPN1,PTPN2,1,0,1,0.04776584737492515,0.6459461687418124,0.4205135473702549
SEC24A_SEC24B,SEC24A,SEC24B,1,0,1,-0.1957485274997428,-2.931987687924725,-1.3765955350895505
CCNB1_CCNB2,CCNB1,CCNB2,1,0,1,0.07460409873207122,0.4124660521107673,0.2906758776358438
EIF4A1_EIF4A2,EIF4A1,EIF4A2,1,0,1,-0.6266555581634636,-3.09906098316745,-1.3372714238095413
CNOT7_CNOT8,CNOT7,CNOT8,1,0,1,,,
CCNE1_CCNE2,CCNE1,CCNE2,1,0,1,-0.459126737801256,-2.5342561688472207,-1.627156790798921
KDELR1_KDELR2,KDELR1,KDELR2,1,0,1,,,
CCNL1_CCNL2,CCNL1,CCNL2,1,0,1,0.5378741973103592,3.3314434765203123,1.166528264930764
ACSL3_ACSL4,ACSL3,ACSL4,1,0,1,0.034612805339014174,0.838830364209464,0.23665752901617818
CEPT1_CHPT1,CEPT1,CHPT1,1,0,1,-0.3484023271767806,-1.9432766463219977,-1.2446741299787354
RBBP4_RBBP7,RBBP4,RBBP7,1,0,1,0.17378088192892616,1.1891330883109315,0.5273516534085934
FUBP1_KHSRP,FUBP1,KHSRP,1,0,1,0.09638994419074606,1.3890611553556766,0.5310257274233722
SRPK1_SRPK2,SRPK1,SRPK2,1,0,1,-0.274288931565778,-2.861827247967973,-0.9054108718781869
DYNLL1_DYNLL2,DYNLL1,DYNLL2,1,0,1,,,
ATP1B1_ATP1B3,ATP1B1,ATP1B3,1,0,1,-0.16262885470785177,-3.7733578405260557,-1.4173756466329834
ACTR1A_ACTR1B,ACTR1A,ACTR1B,1,0,1,-0.9316287331361688,-1.4894196906030992,-1.1067921233720717
UBE2D2_UBE2D3,UBE2D2,UBE2D3,1,0,1,-1.0533314332280763,-1.952803740992378,-1.441538826299687
WWTR1_YAP1,WWTR1,YAP1,1,0,1,-0.2195769221014371,-1.4815087278403192,-0.7073582769313901
ARL2_TRIM23,ARL2,TRIM23,1,0,1,0.23692976756353024,0.7179693993446111,0.43544381199897625
S100A10_S100P,S100A10,S100P,1,0,1,,,
HNRNPDL_TARDBP,HNRNPDL,TARDBP,1,0,1,0.2514326538774374,-1.713401049124258,-0.7801493908766809
DIS3L_DIS3L2,DIS3L,DIS3L2,1,0,1,-0.19176863967557767,-3.9320858207371736,-1.4247641263590385
DDX20_DDX39B,DDX20,DDX39B,1,0,1,0.21118118126544072,1.2795005346951887,0.6155296105705491
NBPF1_NBPF19,NBPF1,NBPF19,1,0,1,,,
RAB18_RAB1A,RAB18,RAB1A,1,0,1,,,
RAB7A_RAB9A,RAB7A,RAB9A,1,0,1,,,
CBWD3_CBWD6,CBWD3,CBWD6,1,0,1,,,
ROCK1_ROCK2,ROCK1,ROCK2,1,1,0,-0.3701542547574598,-2.0109989593778304,-1.4365286105982618
TLK1_TLK2,TLK1,TLK2,1,1,0,-0.3480017042373843,-1.4989987400404063,-0.8245867171367702
PAK1_PAK2,PAK1,PAK2,1,1,0,-0.11309369845302614,-1.2676989539345105,0.46557903162978864
